Date,Open,High,Low,Close,Adj Close,Volume,Event
31/5/94,0.82667,0.82667,0.82667,0.82667,0.389972,0,0
30/6/94,0.77333,0.77333,0.77333,0.77333,0.36481,0,0
29/7/94,0.80667,0.80667,0.80667,0.80667,0.380538,0,0
31/8/94,0.81667,0.81667,0.81667,0.81667,0.385255,0,1
30/9/94,0.86667,0.86667,0.86667,0.86667,0.408842,0,0
30/10/94,0.85667,0.85667,0.85667,0.85667,0.404124,0,0
29/11/94,0.82333,0.82333,0.82333,0.82333,0.388397,0,0
29/12/94,0.81,0.81,0.81,0.81,0.382108,0,0
30/1/95,0.82667,0.82667,0.82667,0.82667,0.389972,0,0
27/2/95,0.84,0.84,0.84,0.84,0.396261,0,0
31/3/95,0.86667,0.86667,0.86667,0.86667,0.408842,0,0
28/4/95,0.93333,0.93333,0.93333,0.93333,0.440288,0,0
31/5/95,1,1,1,1,0.471739,0,0
30/6/95,0.98333,0.98333,0.98333,0.98333,0.463875,0,0
31/7/95,1.05333,1.05333,1.05333,1.05333,0.496896,0,0
31/8/95,1.14,1.14,1.14,1.14,0.537782,0,0
29/9/95,1.16667,1.16667,1.16667,1.16667,0.550363,0,0
30/10/95,1.15667,1.15667,1.15667,1.15667,0.545646,0,0
29/11/95,1.19667,1.19667,1.19667,1.19667,0.564516,0,0
28/12/95,1.33333,1.33333,1.33333,1.33333,0.628983,0,0
30/1/96,1.38333,1.38333,1.38333,1.38333,0.65257,0,0
28/2/96,1.45,1.45,1.45,1.45,0.684021,0,0
28/3/96,1.56,1.56,1.56,1.56,0.735913,0,0
30/4/96,1.61667,1.61667,1.61667,1.61667,0.762646,0,0
31/5/96,1.66667,1.66667,1.66667,1.66667,0.786233,0,0
28/6/96,1.78333,1.78333,1.78333,1.78333,0.841266,0,0
31/7/96,1.7,1.7,1.7,1.7,0.801956,0,0
30/8/96,1.88333,1.88333,1.88333,1.88333,0.88844,0,0
30/9/96,2.18,2.18,2.18,2.18,1.028391,0,0
30/10/96,2.06667,2.06667,2.06667,2.06667,0.974928,0,0
28/11/96,2.11333,2.11333,2.11333,2.11333,1.12942,0,0
30/12/96,1.98333,1.98333,1.98333,1.98333,1.059945,0,0
30/1/97,1.92667,1.92667,1.92667,1.92667,1.029664,0,0
